part,severity,damage_area_ratio,yolo_confidence,severity_confidence,parts_cost,labor_cost,paint_cost,total_repair_cost
Trunk,moderate,0.2642,0.6583,0.8809,14579.935228163873,3325.7770205541187,3904.446464827155,21810.16
Bumper,severe,0.7556,0.9782,0.7222,6962.247660561472,3362.317058161171,6100.519832805074,16425.08
Windshield,moderate,0.1856,0.8512,0.4272,6058.500704512252,2026.0043896046268,0.0,8084.51
Headlight,minor,0.0907,0.7425,0.7253,0.0,1538.625234535415,0.0,1538.63
Light,moderate,0.1937,0.7771,0.9687,0.0,1614.7223269808242,0.0,1614.72
Fender,moderate,0.5,0.7797,0.9002,5201.888354293872,5153.104566637209,4429.423299380519,14784.42
Windshield,moderate,0.3712,0.5608,0.7362,0.0,1681.7278075680676,0.0,1681.73
Door,minor,0.0457,0.6332,0.9201,0.0,2671.8056432059116,1626.290308990502,4298.1
Door,moderate,0.2576,0.6387,0.9186,12464.760007729556,3646.0528587586614,3320.5874526886632,19431.4
Bumper,moderate,0.2853,0.9381,0.4354,0.0,2353.555992321302,4539.271212124668,6892.83
Fender,severe,0.6272,0.8319,0.4362,0.0,5713.264957253823,5065.497201537512,10778.76
Door,minor,0.0267,0.7323,0.5406,0.0,2422.1314594193213,2148.9731403476026,4571.1
Bumper,moderate,0.276,0.6382,0.7763,0.0,2238.0022041362677,3135.290574270283,5373.29
Fender,minor,0.0113,0.6424,0.7746,0.0,2137.5667239801533,1824.2461055339118,3961.81
Fender,minor,0.01,0.4966,0.8674,0.0,1916.941110243754,2190.930262199273,4107.87
Trunk,severe,0.5968,0.9087,0.8739,13094.584897661285,3819.856391869129,8227.417992814726,25141.86
Bumper,moderate,0.3316,0.8268,0.5157,0.0,2145.243103000029,5538.158669891878,7683.4
Hood,minor,0.067,0.7323,0.4301,0.0,1865.880293265804,2480.727064869088,4346.61
Fender,moderate,0.4497,0.7712,0.8607,5784.054309716063,2476.4185163741176,3808.445733048198,12068.92
Headlight,severe,0.8976,0.4852,0.8298,12709.665076450314,1335.9013595383747,0.0,14045.57
Light,minor,0.0674,0.7859,0.9266,0.0,1211.8550424236616,0.0,1211.86
Bumper,severe,0.6746,0.7164,0.5347,8833.169666041356,2931.8820192018725,6237.589257640226,18002.64
Bumper,minor,0.0276,0.5384,0.9096,0.0,1791.06709923163,2138.2732003868673,3929.34
Bumper,moderate,0.2555,0.4678,0.7305,0.0,1576.050913835916,3512.6498623432412,5088.7
Fender,moderate,0.2094,0.7078,0.6372,0.0,2831.3639632105837,3480.107699899979,6311.47
Windshield,moderate,0.2761,0.5462,0.9269,0.0,2251.5756479087545,0.0,2251.58
Light,minor,0.01,0.8348,0.7439,0.0,608.891754579091,0.0,800.0
Hood,moderate,0.1895,0.6748,0.8271,0.0,3213.2373898626415,2702.617363086453,5915.85
Trunk,severe,0.5059,0.8445,0.5192,15789.431703282704,3697.6593926222995,4340.427945555828,23827.52
Bumper,minor,0.0351,0.8409,0.6623,0.0,1670.8523567467441,2511.18793548714,4182.04
Door,minor,0.0443,0.5667,0.5234,0.0,2653.5290503618644,1869.5067340938767,4523.04
Bumper,minor,0.0594,0.7656,0.4389,0.0,2031.5315411830327,1869.4476732894304,3900.98
Headlight,moderate,0.1933,0.6058,0.8142,0.0,1150.3101171364533,0.0,1150.31
Fender,moderate,0.3629,0.9514,0.6165,0.0,3053.6942038256543,3957.5576742063504,7011.25
Fender,severe,0.8122,0.5539,0.6932,0.0,5895.4452669727725,5911.710376778384,11807.16
Trunk,minor,0.0538,0.8328,0.8963,0.0,2148.9439485342004,1811.1120635046254,3960.06
Door,severe,0.346,0.8231,0.9282,11494.706171251024,5259.829386744395,5059.14733890854,21813.68
Windshield,minor,0.023,0.667,0.7202,0.0,1899.4998242133722,0.0,1899.5
Fender,severe,0.5467,0.8204,0.6335,7902.704682049888,3965.9930870348167,4870.506952551482,16739.2
Bumper,minor,0.0577,0.9346,0.4683,0.0,1657.4877222530922,1583.36154031618,3240.85
Hood,moderate,0.2351,0.8381,0.5454,0.0,2164.5643913823756,2535.643241722531,4700.21
Windshield,moderate,0.1821,0.5381,0.8281,11444.019332737718,1626.8317953332337,0.0,13070.85
Door,minor,0.0432,0.5216,0.6806,0.0,2931.3220748198073,3269.705191958274,6201.03
Fender,minor,0.0862,0.8586,0.4618,0.0,2001.9568040453405,2346.1885405474613,4348.15
Bumper,minor,0.0996,0.4528,0.4598,0.0,1089.6196426412862,2432.84306307014,3522.46
Windshield,minor,0.0289,0.7372,0.9063,0.0,1956.2768364889687,0.0,1956.28
Trunk,moderate,0.3305,0.8051,0.4256,0.0,4259.780704502942,3508.1930771532548,7767.97
Trunk,severe,0.7395,0.9647,0.9477,15117.800617630346,5150.203455240294,5775.30817559178,26043.31
Fender,moderate,0.2433,0.919,0.7076,0.0,3306.758042029618,3201.3726591680906,6508.13
Fender,moderate,0.1836,0.7764,0.5351,4410.557606330793,3005.5005137524277,4101.217421800443,11517.28
Headlight,moderate,0.2062,0.4699,0.6783,0.0,610.1795523702324,0.0,800.0
Trunk,severe,0.422,0.5086,0.6057,0.0,3772.4342390362563,3899.1273931702103,7671.56
Light,severe,0.7001,0.9569,0.8628,10950.454025850955,1022.9997836815695,0.0,11973.45
Windshield,minor,0.0984,0.5385,0.9749,0.0,2566.383769042545,0.0,2566.38
Door,moderate,0.2024,0.8879,0.8644,0.0,2391.2130715238313,3581.723836669212,5972.94
Light,severe,0.6896,0.8189,0.4893,11114.244693145502,3076.809474208238,0.0,14191.05
Trunk,moderate,0.3878,0.4735,0.8943,16785.879846321863,3733.491108727152,4195.36172334345,24714.73
Fender,severe,0.7025,0.7128,0.447,5607.769494486138,3240.7586442411107,6460.753338897853,15309.28
Hood,minor,0.0772,0.9101,0.5423,0.0,2743.289562234873,2937.052095922894,5680.34
Door,severe,0.6054,0.9169,0.9057,14187.86252993637,6233.999663850259,5301.196522463467,25723.06
Door,severe,0.6344,0.7467,0.4672,11163.341274497241,4933.507721398984,4751.5610802897345,20848.41
Fender,moderate,0.2348,0.6312,0.7669,0.0,2429.5831588833353,4567.009186390323,6996.59
Light,moderate,0.1944,0.701,0.4336,0.0,961.7745819950989,0.0,961.77
Trunk,minor,0.0648,0.463,0.4128,0.0,2538.6792332455057,2964.2197186098338,5502.9
Light,minor,0.033,0.7293,0.879,4077.9527276146828,1122.1167397470726,0.0,5200.07
Door,minor,0.0719,0.6791,0.9473,0.0,3818.4646484737923,1855.0255116548951,5673.49
Trunk,severe,0.323,0.6999,0.7151,16958.30942773246,3982.5554771806446,3431.959555872777,24372.82
Hood,minor,0.033,0.5196,0.4189,0.0,2895.3924426917815,2707.019864282703,5602.41
Hood,severe,0.5758,0.7953,0.589,14959.363297562126,3845.7095265159246,4119.406770519482,22924.48
Fender,moderate,0.1159,0.6046,0.8031,5162.657779973214,1936.1267767124295,2203.8368000197734,9302.62
Bumper,severe,0.6387,0.6334,0.85,4405.889601755203,2358.4908824864633,5339.286684163281,12103.67
Fender,minor,0.0641,0.5203,0.7292,0.0,1855.206359525952,1752.5499383089316,3607.76
Light,moderate,0.2852,0.9457,0.9495,11315.95958503644,1366.3188227144415,0.0,12682.28
Hood,severe,0.6199,0.7911,0.7053,16675.832803580266,3780.10105095383,6717.9592607609275,27173.89
Fender,moderate,0.315,0.9121,0.6515,0.0,3386.1968831772588,3905.211656589072,7291.41
Trunk,moderate,0.4067,0.5558,0.7945,0.0,3642.6807365282575,5875.639838067344,9518.32
Windshield,moderate,0.2982,0.8569,0.6928,12027.429304882025,2466.444055397438,0.0,14493.87
Fender,severe,0.537,0.5967,0.7436,5580.92022890327,5127.89349477315,5024.86001516071,15733.67
Light,minor,0.0298,0.7852,0.6163,0.0,1294.108036077396,0.0,1294.11
Fender,minor,0.01,0.6404,0.7439,0.0,1908.104452258916,2456.345233341451,4364.45
Light,moderate,0.1626,0.5756,0.5361,0.0,1234.7514989392664,0.0,1234.75
Fender,minor,0.01,0.7771,0.8099,0.0,1994.313782582717,2157.641224789483,4151.96
Trunk,minor,0.0921,0.7458,0.7131,0.0,2795.571431731829,3225.077408619684,6020.65
Hood,minor,0.01,0.945,0.5834,0.0,2309.254759941663,1555.2080146641413,3864.46
Bumper,moderate,0.1619,0.5847,0.7026,0.0,1654.085943904048,2795.3623371896547,4449.45
Headlight,moderate,0.4116,0.9641,0.4545,3074.7886399014315,1390.6691335019043,0.0,4465.46
Trunk,minor,0.0742,0.8573,0.4656,0.0,2100.4501262566623,2443.1253023423183,4543.58
Bumper,moderate,0.1281,0.7987,0.9797,0.0,2307.009470792204,2209.1353292037625,4516.14
Light,minor,0.04,0.6822,0.9228,0.0,1347.9344839525297,0.0,1347.93
Windshield,moderate,0.2706,0.622,0.6125,0.0,1389.9325061840484,0.0,1389.93
Headlight,moderate,0.3375,0.5393,0.7727,0.0,1428.7569277307862,0.0,1428.76
Fender,moderate,0.1,0.6614,0.7365,6622.5243208123065,2391.9484466843546,2449.6368176356186,11464.11
Hood,moderate,0.3522,0.4878,0.9537,0.0,3304.1292640897127,5534.510436153031,8838.64
Hood,severe,0.3,0.6129,0.8658,17426.108633278076,2666.0097660204906,2780.872722226381,22872.99
Door,moderate,0.2754,0.5478,0.5713,13719.021797076637,5019.402478548033,4136.51538999875,22874.94
Bumper,moderate,0.2021,0.9542,0.7489,9875.77986990151,1738.1348279983042,3901.0989819313772,15515.01
Light,moderate,0.3825,0.745,0.5483,0.0,1478.0463190259566,0.0,1478.05
Hood,minor,0.0627,0.7609,0.4974,0.0,2737.6373354575567,1858.8968432732406,4596.53
Door,severe,0.95,0.481,0.4822,10466.953540314005,5370.64479290311,6915.69094685127,22753.29
Trunk,minor,0.01,0.518,0.4604,0.0,2318.5481727972888,2732.961874555988,5051.51
Fender,minor,0.0551,0.7771,0.6566,0.0,2362.9512915017763,2076.6799280251607,4439.63
Hood,minor,0.0575,0.6219,0.5931,0.0,2584.8364699556005,2827.77306730957,5412.61
Light,minor,0.01,0.9597,0.7683,0.0,699.797903176926,0.0,800.0
Headlight,minor,0.0101,0.8024,0.8614,0.0,878.4916780196515,0.0,878.49
Trunk,minor,0.0274,0.7186,0.4924,0.0,2305.718485328151,2583.4186089300188,4889.14
Windshield,minor,0.0737,0.7435,0.5772,0.0,1951.9061145994765,0.0,1951.91
Hood,minor,0.0635,0.7828,0.7911,0.0,2184.4900152287705,2420.054846920756,4604.54
Fender,severe,0.5204,0.6334,0.9659,6815.291677093811,3073.210544390803,4364.919155883549,14253.42
Trunk,severe,0.4917,0.8874,0.7865,15829.14852821043,2904.269064069804,7010.817346396132,25744.23
Fender,minor,0.1289,0.7183,0.6549,4018.2881953952065,3145.8991640015424,2628.0146656193897,9792.2
Hood,severe,0.3515,0.6076,0.6496,14470.825504240316,3131.3109948076212,3685.090013496925,21287.23
Bumper,minor,0.0877,0.9782,0.8721,0.0,1130.519221993818,2779.309021530808,3909.83
Headlight,minor,0.0647,0.6377,0.7048,0.0,1401.6802444851578,0.0,1401.68
Light,severe,0.4458,0.5877,0.841,9886.716869957696,753.5494130779449,0.0,10640.27
Fender,minor,0.01,0.5909,0.7747,0.0,1549.764636002624,1528.66230466428,3078.43
Windshield,severe,0.7549,0.6492,0.6288,8817.287521621825,2671.7413126828505,0.0,11489.03
Light,minor,0.0587,0.5841,0.8531,0.0,781.8822476274304,0.0,800.0
Hood,moderate,0.1769,0.5296,0.8277,0.0,2458.5806997601308,3259.827172768288,5718.41
Bumper,moderate,0.3293,0.9755,0.963,0.0,1625.2932237464936,3932.1120837178237,5557.41
Door,moderate,0.3728,0.4936,0.9614,9706.20325479327,3260.683437362762,3699.319318022692,16666.21
Headlight,moderate,0.1639,0.7014,0.4661,11224.611871016214,1000.3274486348197,0.0,12224.94
Windshield,moderate,0.162,0.9419,0.5303,0.0,2118.261727161116,0.0,2118.26
Bumper,minor,0.01,0.976,0.7894,0.0,2149.562977015322,1804.4083536851313,3953.97
Light,severe,0.7461,0.8361,0.8503,11181.392155746487,1826.3477188200632,0.0,13007.74
Hood,minor,0.0837,0.9615,0.6833,0.0,2963.058947202792,1683.4627460726783,4646.52
Headlight,severe,0.4801,0.8151,0.9065,7561.0657486100445,1830.2404113313046,0.0,9391.31
Headlight,severe,0.421,0.9163,0.7814,9847.991973285689,1663.6373741733746,0.0,11511.63
Bumper,moderate,0.2267,0.4528,0.8414,0.0,1950.029101273272,3184.9068702004793,5134.94
Light,severe,0.7161,0.791,0.8526,9783.798416761558,1856.3422767788463,0.0,11640.14
Light,moderate,0.3622,0.8709,0.4539,6874.171480736903,1634.2610086083362,0.0,8508.43
Headlight,severe,0.8688,0.7691,0.4133,5015.468865100167,2705.933306878673,0.0,7721.4
Door,moderate,0.2581,0.6833,0.4855,8759.169876694794,3972.9633442119384,4082.1660376389304,16814.3
Headlight,moderate,0.1862,0.7879,0.6878,9802.673544870331,1315.0674118210727,0.0,11117.74
Headlight,minor,0.0107,0.5478,0.6101,0.0,911.4315985248555,0.0,911.43
Fender,minor,0.0715,0.5695,0.6186,0.0,2433.9485307084856,3163.638499822758,5597.59
Trunk,minor,0.1003,0.7131,0.6534,0.0,2088.3640951371244,2318.5624180565214,4406.93
Bumper,minor,0.0418,0.5961,0.5599,0.0,968.8046119018431,1634.046203561955,2602.85
Light,minor,0.02,0.7084,0.4195,0.0,783.760948497434,0.0,800.0
Hood,moderate,0.1,0.9175,0.6282,16926.82703250571,2045.6155560090072,1921.8453961100045,20894.29
Fender,moderate,0.3284,0.6959,0.9638,6859.283616812897,3581.8680633316885,3578.035714918482,14019.19
Trunk,severe,0.5089,0.8696,0.7183,14626.636034185343,3814.49199827559,6374.170631109541,24815.3
Fender,minor,0.0989,0.695,0.6388,0.0,2398.6824755430084,3385.5884775844074,5784.27
Windshield,moderate,0.3444,0.9122,0.716,7487.702004837325,3088.582681577793,0.0,10576.28
Hood,moderate,0.1811,0.6892,0.9713,0.0,3819.0801232271324,3288.563411049128,7107.64
Fender,moderate,0.1612,0.4995,0.6558,4299.143922490054,2532.8701747649116,3270.018908879358,10102.03
Door,minor,0.0534,0.6599,0.9308,0.0,3497.0715334781335,2697.9849491425502,6195.06
Trunk,moderate,0.452,0.4677,0.6109,13920.455043786224,3448.5606135518187,5869.296928816358,23238.31
Trunk,moderate,0.1,0.9626,0.6423,14556.839095884876,3000.811252928686,2062.7905747439827,19620.44
Headlight,minor,0.0223,0.4993,0.417,0.0,1212.156061561018,0.0,1212.16
Hood,severe,0.7761,0.6166,0.6733,16863.52909538296,4082.425243691067,8508.461419323905,29454.42
Headlight,moderate,0.139,0.4962,0.8171,0.0,1004.5713563676958,0.0,1004.57
Door,minor,0.0248,0.896,0.6733,0.0,3287.9179038804114,2174.7488060910455,5462.67
Headlight,minor,0.0405,0.4909,0.5974,10033.4415954906,604.9254056719404,0.0,10638.37
Fender,moderate,0.1825,0.856,0.8573,4187.688762250033,2524.6775333704345,3205.8230702899905,9918.19
Windshield,severe,0.7289,0.5183,0.6394,5845.611268323967,3048.6080053940136,0.0,8894.22
Headlight,minor,0.0604,0.9049,0.5695,0.0,1154.1818026758801,0.0,1154.18
Door,severe,0.7265,0.6884,0.5267,0.0,5959.80514981509,7132.4595823716745,13092.26
Windshield,moderate,0.2995,0.6075,0.574,6427.220268935974,1677.4837706112717,0.0,8104.7
Light,moderate,0.2143,0.6775,0.5553,12706.142313430317,1288.3882222744542,0.0,13994.53
Light,severe,0.7192,0.9321,0.7881,3297.617156249381,2151.7106678819014,0.0,5449.33
Bumper,minor,0.0345,0.9525,0.6582,0.0,1139.5286693038067,1763.4968262785565,2903.03
Bumper,moderate,0.2741,0.7683,0.8313,7056.73358340045,1818.4268509295894,4053.052921350276,12928.21
Bumper,minor,0.0772,0.7007,0.7611,4017.2195779736135,1944.9127024392837,2906.2232262250354,8868.36
Light,moderate,0.2285,0.4695,0.4627,4384.093821123532,1163.3979196216221,0.0,5547.49
Fender,moderate,0.1049,0.9163,0.7334,3083.113442445649,2551.495106470882,3084.4423326106967,8719.05
Headlight,moderate,0.2183,0.6736,0.6384,0.0,837.2603454737077,0.0,837.26
Trunk,moderate,0.3341,0.8897,0.4235,16890.321180732466,3245.377107743568,4835.348312617239,24971.05
Hood,moderate,0.1335,0.4876,0.4465,12080.016520505045,2498.896213186164,2880.3299495581273,17459.24
Headlight,moderate,0.4282,0.5113,0.4895,0.0,1466.7901329217989,0.0,1466.79
Door,moderate,0.1435,0.6064,0.6819,13292.45619840804,2222.7809030915632,2818.741942041964,18333.98
Windshield,minor,0.0448,0.4911,0.7147,0.0,1565.9936045469324,0.0,1565.99
Light,moderate,0.1015,0.6784,0.5849,0.0,1651.4376796746835,0.0,1651.44
Trunk,minor,0.0418,0.8538,0.9491,0.0,2488.779701974457,1533.2844020997672,4022.06
Door,minor,0.0478,0.8089,0.7514,0.0,2659.34862980596,1661.1850121868206,4320.53
Fender,severe,0.8272,0.5026,0.5211,4203.176195540701,6171.007957431547,5141.165723400231,15515.35
Door,minor,0.1111,0.5116,0.9544,0.0,3238.7826918076994,3028.9913174224816,6267.77
Windshield,moderate,0.2626,0.9645,0.8487,0.0,2001.48335109209,0.0,2001.48
Windshield,minor,0.0496,0.6102,0.5504,0.0,2032.6051636462905,0.0,2032.61
Door,minor,0.111,0.5298,0.8737,0.0,3373.7812518458018,2663.4599538471125,6037.24
Hood,moderate,0.2585,0.6594,0.4229,0.0,3398.00726427056,3235.399634815948,6633.41
Bumper,moderate,0.4164,0.6974,0.42,6817.391771877523,1526.8526951488977,5416.933758456091,13761.18
Light,minor,0.0969,0.6489,0.5658,0.0,1125.2283042095312,0.0,1125.23
Bumper,moderate,0.4582,0.7691,0.743,0.0,3146.6800545756646,5557.510852199031,8704.19
Headlight,severe,0.4264,0.4831,0.9124,4259.799505453373,2380.333363917359,0.0,6640.13
Door,minor,0.0766,0.8845,0.5934,0.0,3708.8120321724405,2636.920219791467,6345.73
Door,minor,0.0737,0.4576,0.828,0.0,4143.169483834351,2439.5905416152746,6582.76
Bumper,moderate,0.2681,0.463,0.5776,0.0,1968.226856500486,4311.621710709456,6279.85
Trunk,minor,0.0544,0.4907,0.6904,0.0,1887.460539466326,2626.540451476546,4514.0
Fender,minor,0.015,0.5307,0.5544,0.0,1848.6497321988713,2264.907445671579,4113.56
Light,minor,0.0479,0.6396,0.7757,0.0,1203.6522376381204,0.0,1203.65
Light,minor,0.0703,0.6955,0.5361,0.0,1125.609467591202,0.0,1125.61
Windshield,severe,0.6609,0.6007,0.4776,8246.13028548318,2500.1675762995396,0.0,10746.3
Fender,moderate,0.1843,0.6975,0.5974,4018.9615856249816,3713.023496407644,3554.3608686703055,11286.35
Hood,moderate,0.1,0.9227,0.6516,11556.434483456875,2177.504340712779,2567.503808590263,16301.44
Bumper,minor,0.0555,0.5237,0.5475,0.0,2121.226439758991,3034.5377689543193,5155.76
Door,moderate,0.296,0.8644,0.7736,0.0,4308.582903515357,3502.2103835682324,7810.79
Fender,minor,0.01,0.9052,0.5079,0.0,1993.4729236852932,1761.2992187231239,3754.77
Windshield,severe,0.5955,0.8092,0.7525,6976.942476422279,3059.044944499377,0.0,10035.99
Fender,minor,0.0541,0.8645,0.7154,0.0,2011.3711425773895,2025.6269651648552,4037.0
Headlight,severe,0.549,0.7112,0.6345,5930.148009470099,1458.2643562430437,0.0,7388.41
Bumper,severe,0.7371,0.5197,0.8971,4211.622499143438,2935.8743947180224,6450.73245628758,13598.23
Light,minor,0.0215,0.6055,0.8484,0.0,540.826827324413,0.0,800.0
Fender,minor,0.0787,0.8898,0.7516,0.0,2696.0383058992948,2996.0356166773854,5692.07
Trunk,moderate,0.4419,0.7011,0.4335,11793.720709270689,2845.627031584326,4417.18445543154,19056.53
Fender,severe,0.6282,0.9249,0.8914,5855.778090705634,4801.371942084218,6882.382473247057,17539.53
Door,moderate,0.1,0.9363,0.5685,14154.212572876775,3014.2456268956144,2302.6179812245996,19471.08
Hood,moderate,0.2666,0.61,0.8414,0.0,2515.246185990994,3008.854891035091,5524.1
Trunk,moderate,0.2117,0.6794,0.4255,0.0,2530.5648942751877,3842.338283013122,6372.9
Light,severe,0.7431,0.5077,0.7692,4141.438983604319,3083.2818150140356,0.0,7224.72
Hood,severe,0.5933,0.7798,0.9691,17624.23587869578,4463.424076487164,4056.002730388214,26143.66
Hood,severe,0.4766,0.6143,0.5346,12879.44530587851,5282.893834905432,6649.540957936548,24811.88
Door,moderate,0.3817,0.9409,0.5326,10788.977466229248,3852.8176639260255,4042.5942077476143,18684.39
Door,minor,0.0353,0.4502,0.9228,0.0,2508.949818928698,2235.470431191347,4744.42
Light,minor,0.0641,0.658,0.8375,0.0,610.4438491054719,0.0,800.0
Door,minor,0.01,0.9282,0.9089,0.0,2574.386199917016,2432.773251819795,5007.16
Hood,minor,0.0373,0.5997,0.9513,0.0,1555.36775113432,1958.5876457331383,3513.96
Windshield,moderate,0.1,0.6625,0.8426,11756.001682925822,1647.0925186544548,0.0,13403.09
Headlight,moderate,0.4189,0.9032,0.5201,0.0,1575.837637425175,0.0,1575.84
Bumper,minor,0.0703,0.6369,0.8784,0.0,2422.8361383465076,2079.439352731849,4502.28
Fender,severe,0.5452,0.6708,0.7031,4083.964844991934,4258.536725323769,3241.94033601422,11584.44
Windshield,moderate,0.1918,0.8378,0.7716,7564.310220865384,2464.215320552406,0.0,10028.53
Bumper,severe,0.5118,0.928,0.8679,6186.163755859298,2248.7936939160722,5320.24150964096,13755.2
Headlight,minor,0.0576,0.5926,0.7002,0.0,783.2300886225439,0.0,800.0
Bumper,severe,0.8353,0.7223,0.6952,5831.766958891695,4380.361286038013,5297.310772951098,15509.44
Hood,severe,0.4191,0.4664,0.4301,9977.209143897635,4705.470586961236,3433.9850397117975,18116.66
Bumper,minor,0.0446,0.952,0.6878,0.0,2376.5983968206574,2557.4478099571793,4934.05
Door,moderate,0.1,0.8969,0.4566,0.0,3938.3274720534205,2209.606050009732,6147.93
Trunk,moderate,0.2644,0.9072,0.504,0.0,3797.3157022869814,3025.6345300011317,6822.95
Trunk,moderate,0.2687,0.6158,0.9425,0.0,2805.3296880245607,3465.664802509558,6270.99
Fender,severe,0.6345,0.6371,0.7603,3090.693020059383,4270.935407397488,4157.460922226129,11519.09
Bumper,moderate,0.2765,0.6522,0.9696,6352.975860463072,1398.0608232129387,2958.8759210489334,10709.91
Hood,moderate,0.3448,0.5964,0.6506,0.0,2691.0888992804394,4172.474071798966,6863.56
Bumper,minor,0.0621,0.5584,0.7014,0.0,2084.5132059979296,2518.895628221265,4603.41
Headlight,minor,0.0487,0.9633,0.7501,0.0,879.8496057142967,0.0,879.85
Headlight,minor,0.103,0.6478,0.7269,0.0,1256.7274210100356,0.0,1256.73
Bumper,moderate,0.1872,0.5061,0.4898,0.0,2053.095029422374,3861.1550442673965,5914.25
Headlight,minor,0.0679,0.7373,0.945,0.0,1381.7725922858097,0.0,1381.77
Fender,minor,0.089,0.6798,0.4537,0.0,2277.38400739945,2521.1340166916266,4798.52
